Year,Fire Number,Fire Centre,Latitude,Longitude,Geographic,Discovery Date,Size (ha)
2012,G10064 (2012),Prince George,53 56.211,122 42.280,End of Hoferkamp Road,"May 14, 2012",6.7
2012,G40009 (2012),Prince George,54 00.775,124 15.058,Giesbrecht Pit Road,"April 20, 2012",27.3
2012,G50407 (2012),Prince George,54 38.066,125 22.996,Ruby Rock Park,"August 19, 2012",15.0
2012,G60264 (2012),Prince George,55 05.706,123 30.385,20 miles West of Mackenzie,"July 25, 2012",39.2
2012,G60395 (2012),Prince George,58 28.751,126 32.182,Split Top Mountain,"August 17, 2012",473.0
2012,G60396 (2012),Prince George,58 22.223,126 13.017,Through Creek,"August 17, 2012",1590.8
2012,G60424 (2012),Prince George,58 31.349,126 53.637,Kechicka,"August 17, 2012",11.7
2012,G60501 (2012),Prince George,55 10.218,123 58.188,Phillips Bluestain Mainline,"September 18, 2012",36.7
2012,G70018 (2012),Prince George,55 42.994,121 12.984,East Pine,"April 30, 2012",17.7
2012,G70021 (2012),Prince George,55 42.735,121 29.409,East of Chetwynd,"May 3, 2012",54.3
2012,G70023 (2012),Prince George,55 38.648,121 34.924,Asleson Road,"May 5, 2012",9.8
2012,G70036 (2012),Prince George,56 04.721,120 38.057,Taylor,"May 11, 2012",141.9
2012,G70044 (2012),Prince George,55 52.665,120 39.815,Sunrise Valley,"May 11, 2012",17.0
2012,G70061 (2012),Prince George,55 06.830,120 54.207,1 mile North Quality Lake,"May 14, 2012",46.0
2012,G70072 (2012),Prince George,55 54.254,121 17.212,20.5 km 1Alpha RD,"May 16, 2012",7.4
2012,G70073 (2012),Prince George,55 53.128,120 28.008,Junction of East Mason and 237 Road,"May 17, 2012",8.5
2012,G70084 (2012),Prince George,56 04.639,120 55.976,1 km up 300 Rd,"May 20, 2012",6.8
2012,G70478 (2012),Prince George,56 09.911,120 53.124,South of dump across Peace River,"September 14, 2012",23.5
2012,G70496 (2012),Prince George,55 32.445,120 04.474,toms lake,"September 17, 2012",24.2
2012,G80002 (2012),Prince George,56 08.009,120 03.485,Clayhurst,"April 8, 2012",5.0
2012,G80026 (2012),Prince George,56 32.668,120 21.216,Osborn,"May 6, 2012",10.3
2012,G80029 (2012),Prince George,56 31.214,121 53.887,Halfway Indian Reserve,"May 8, 2012",5.0
2012,G80031 (2012),Prince George,56 34.584,120 23.140,Siphon Creek,"May 8, 2012",6.3
2012,G80045 (2012),Prince George,56 30.853,121 56.888,Halfway River,"May 12, 2012",6.1
2012,G80056 (2012),Prince George,56 17.287,120 47.682,South end of Cecil Lake Raod,"May 13, 2012",28.1
2012,G80057 (2012),Prince George,56 15.667,120 42.654,Northeast of Ft St John Airport,"May 13, 2012",9.1
2012,G80095 (2012),Prince George,57 12.640,121 00.549,7km East of Beatton River,"May 28, 2012",19.5
2012,G80098 (2012),Prince George,57 26.510,121 10.100,Fort St John,"May 28, 2012",15.1
2012,G80100 (2012),Prince George,56 24.600,122 11.450,Kobes Creek,"May 28, 2012",20.0
2012,G80111 (2012),Prince George,58 18.753,120 31.878,2 km West of Teklo Creek,"May 29, 2012",31.0
2012,G80179 (2012),Prince George,56 34.584,120 23.140,Siphon Creek,"July 11, 2012",111.0
2012,G80326 (2012),Prince George,57 29.581,121 10.791,Beatton River area,"August 7, 2012",49.4
2012,G80342 (2012),Prince George,57 31.820,120 09.278,Patti Area,"August 8, 2012",15.0
2012,G80347 (2012),Prince George,57 10.754,120 41.201,Milgan Creek Road,"August 9, 2012",8.9
2012,G80350 (2012),Prince George,57 58.437,120 57.702,Kantah River,"August 9, 2012",718.2
2012,G80379 (2012),Prince George,57 33.560,120 04.422,15 nm South of Paddy,"August 16, 2012",9600.0
2012,G80383 (2012),Prince George,58 08.199,121 38.690,Sikanni Chief,"August 16, 2012",6.9
2012,G80401 (2012),Prince George,57 13.547,120 47.321,Milligan Road,"August 18, 2012",751.9
2012,G80476 (2012),Prince George,56 34.187,120 42.485,Doig River,"September 13, 2012",8.6
2012,G80495 (2012),Prince George,56 52.870,120 17.160,2.5 km South East Doig River / Bullrush,"September 17, 2012",80.2
2012,G80536 (2012),Prince George,58 10.190,120 46.466,Kahntah River,"September 27, 2012",166.0
2012,G90109 (2012),Prince George,58 52.559,120 18.202,Shekillie R,"May 29, 2012",23.0
2012,G90112 (2012),Prince George,59 10.696,121 07.218,N Kotcho Lake,"May 29, 2012",9.3
2012,G90122 (2012),Prince George,58 57.765,121 21.720,South of Kotcho Lake,"May 31, 2012",25.0
2012,G90134 (2012),Prince George,59 31.295,120 08.206,Petitot River,"June 22, 2012",14.0
2012,G90135 (2012),Prince George,59 02.547,121 25.303,West of Kotcho Lake,"June 21, 2012",26.7
2012,G90138 (2012),Prince George,59 21.224,120 16.003,10 miles NE of Helmut airstrip,"June 22, 2012",12.0
2012,G90160 (2012),Prince George,59 48.530,120 49.850,Suhm Creek,"July 5, 2012",12196.3
2012,G90166 (2012),Prince George,58 53.091,121 14.236,8km South of Kotcho Lake,"July 6, 2012",7.5
2012,G90167 (2012),Prince George,58 52.041,121 12.291,8km South of Kotcho Lake,"July 6, 2012",11.0
2012,G90169 (2012),Prince George,58 54.283,121 06.010,Kotcho River,"July 7, 2012",25.5
2012,G90172 (2012),Prince George,58 57.007,120 23.954,6 miles W of Shekilie River,"July 8, 2012",16.4
2012,G90177 (2012),Prince George,58 53.031,121 14.127,SW Kotcho Lake,"July 11, 2012",2480.6
2012,G90200 (2012),Prince George,58 52.617,128 06.234,Deadwood Lake - Blue Sheep Creek,"July 16, 2012",128.9
2012,G90201 (2012),Prince George,59 29.374,120 22.281,15 miles NE Keypile,"July 16, 2012",7.6
2012,G90225 (2012),Prince George,59 24.863,123 03.618,10 Miles Northeast of Ft Nelson River,"July 22, 2012",5.0
2012,G90233 (2012),Prince George,59 07.389,120 10.968,10miles East of Tuga Plant,"July 22, 2012",10.9
2012,G90239 (2012),Prince George,59 35.365,123 40.393,5 Miles East of Liard river,"July 22, 2012",3960.0
2012,G90240 (2012),Prince George,59 31.227,123 44.170,5 miles East of Liard River,"June 22, 2012",2540.0
2012,G90241 (2012),Prince George,58 48.365,125 12.734,3 Miles SE Toad River,"July 23, 2012",155.1
2012,G90249 (2012),Prince George,59 12.767,121 57.708,Komie Lake,"July 24, 2012",12.7
2012,G90250 (2012),Prince George,58 51.351,124 58.922,East of Toad,"July 23, 2012",42.0
2012,G90251 (2012),Prince George,59 20.426,120 58.882,3 miles NW of Kakooly Lake,"July 24, 2012",54.0
2012,G90252 (2012),Prince George,59 20.426,120 57.647,3miles NW of Kwakullie Lake,"July 24, 2012",10.0
2012,G90257 (2012),Prince George,59 53.775,121 39.706,4 km SW of Estsin lake,"July 25, 2012",1102.3
2012,G90281 (2012),Prince George,58 21.157,121 27.024,Near Fontass River,"July 27, 2012",6.7
2012,G90294 (2012),Prince George,59 47.276,122 14.422,50 nm North of Ft Nelson,"July 29, 2012",14.7
2012,G90301 (2012),Prince George,59 39.621,120 20.495,Thinahtea Lake,"July 30, 2012",23.1
2012,G90303 (2012),Prince George,59 57.610,127 00.629,Coal River,"July 30, 2012",878.3
2012,G90304 (2012),Prince George,59 35.425,121 42.640,Gote River,"July 31, 2012",26.4
2012,G90311 (2012),Prince George,59 52.522,124 47.404,Crow River,"August 3, 2012",1827.1
2012,G90318 (2012),Prince George,59 41.469,126 45.401,Coal River,"August 6, 2012",5.1
2012,G90324 (2012),Prince George,58 21.760,122 03.840,Eskai road,"August 7, 2012",5831.9
2012,G90325 (2012),Prince George,58 51.668,127 36.648,4 Km North of Moodie Lakes,"August 6, 2012",144.6
2012,G90327 (2012),Prince George,59 13.213,127 39.988,West of the Kechika river,"August 7, 2012",2936.3
2012,G90348 (2012),Prince George,59 28.815,125 33.765,East of Moule Creek,"August 9, 2012",46.0
2012,G90369 (2012),Prince George,58 23.280,122 14.007,5 Miles west of G90324,"August 14, 2012",6.2
2012,G90392 (2012),Prince George,59 04.016,121 31.647,Courvoisier Creek,"August 17, 2012",38.5
2012,G90398 (2012),Prince George,59 50.418,121 32.803,Hossitl creek,"August 17, 2012",780.0
2012,G90399 (2012),Prince George,58 31.076,127 17.146,Denetieh Lake,"August 17, 2012",938.9
2012,G90403 (2012),Prince George,59 19.890,128 13.667,East of Dogwood Cr,"August 15, 2012",3010.9
2012,G90404 (2012),Prince George,59 22.887,128 12.299,25 KM E of Horseranch,"August 18, 2012",219.0
2012,G90421 (2012),Prince George,59 49.200,127 43.200,Nustlo Creek,"August 21, 2012",61.6
2012,G90464 (2012),Prince George,58 59.648,120 37.534,White Spruce Creek,"September 8, 2012",24851.8
2012,G90517 (2012),Prince George,58 08.196,123 57.142,Beckman Creek,"September 18, 2012",2499.0
2012,G90522 (2012),Prince George,57 51.020,123 56.865,Muskwa River near Little Sisters Mountai...,"September 20, 2012",2443.3
2012,K20029 (2012),Kamloops,50 47.623,120 11.277,Cold Creek Road,"April 20, 2012",11.4
2012,K20041 (2012),Kamloops,50 42.563,121 18.251,Ashcroft IR,"April 27, 2012",7.9
2012,K20878 (2012),Kamloops,50 45.507,121 33.593,Hat Creek,"September 12, 2012",6.5
2012,K20902 (2012),Kamloops,50 50.574,120 20.516,Noble Creek,"September 19, 2012",8.5
2012,K20948 (2012),Kamloops,50 40.304,120 54.917,Guichon Creek,"September 30, 2012",31.0
2012,K20972 (2012),Kamloops,50 20.639,120 24.689,Hwy 5A / Stump Lake,"October 5, 2012",14.0
2012,K21022 (2012),Kamloops,50 46.727,120 21.610,Deep Lake,"March 30, 2013",5.9
2012,K40550 (2012),Kamloops,50 15.225,119 21.456,The Rise,"August 14, 2012",35.0
2012,K40660 (2012),Kamloops,50 05.080,119 15.725,Oyama Lake,"August 21, 2012",9.0
2012,K40665 (2012),Kamloops,50 36.343,118 34.532,S side Cottonwood Creek,"August 22, 2012",36.2
2012,K40741 (2012),Kamloops,50 05.456,119 03.219,Aberdeen Lake,"August 27, 2012",17.9
2012,K40874 (2012),Kamloops,50 27.586,119 24.407,1km W of Salmon River Rd off Hwy 97,"September 9, 2012",15.0
2012,K50104 (2012),Kamloops,49 12.694,119 50.500,Keremeos Bypass Road,"June 2, 2012",5.9
2012,K50351 (2012),Kamloops,49 58.415,119 29.978,Wilsons Landing,"July 27, 2012",27.0
2012,K50869 (2012),Kamloops,49 48.506,119 44.668,"Trepanier Exit , HWY 97C","September 9, 2012",214.0
2012,K50882 (2012),Kamloops,49 12.829,119 47.899,Upper Bench Rd,"September 13, 2012",14.5
2012,K50914 (2012),Kamloops,49 52.193,119 18.438,Black Knight Mtn,"September 21, 2012",41.0
2012,K50920 (2012),Kamloops,49 19.077,119 38.460,White Lake Rd/Fairview Whitelake Rd,"September 23, 2012",30.0
2012,K50961 (2012),Kamloops,49 08.766,119 43.484,Cawston - Barcelo Rd,"October 2, 2012",16.6
2012,K51003 (2012),Kamloops,49 22.056,119 40.863,Marron Valley Road,"October 17, 2012",7.3
2012,K60008 (2012),Kamloops,49 54.751,120 49.591,Kane Valley-Voght Creek,"April 7, 2012",9.3
2012,K60009 (2012),Kamloops,49 20.495,120 02.895,Hedley-Nickleplate Rd,"April 7, 2012",10.7
2012,K60014 (2012),Kamloops,50 27.843,121 16.680,Spences Bridge,"April 9, 2012",125.0
2012,K60026 (2012),Kamloops,50 27.843,121 16.689,DUPLICATE OF K60014,"April 20, 2012",45.0
2012,K60031 (2012),Kamloops,50 29.799,121 15.493,North of Spences Bridge,"April 21, 2012",6.1
2012,K60033 (2012),Kamloops,50 09.413,120 51.843,Lower Nicola 2,"April 21, 2012",55.0
2012,K60034 (2012),Kamloops,50 08.313,120 52.027,Lower Nicola 3,"April 21, 2012",6.5
2012,K60035 (2012),Kamloops,50 08.830,121 00.751,Petey Creek,"April 22, 2012",21.1
2012,K60043 (2012),Kamloops,50 29.883,121 14.523,2km NE Spences bridge,"April 30, 2012",12.9
2012,K60160 (2012),Kamloops,49 45.550,120 48.396,Matthew Creek,"July 9, 2012",155.0
2012,K60200 (2012),Kamloops,50 09.935,120 25.505,S. Douglas lk power station,"July 13, 2012",27.4
2012,K60272 (2012),Kamloops,50 17.941,120 22.138,5 km South of Peter Hope Rd,"July 18, 2012",7.0
2012,K60330 (2012),Kamloops,50 09.563,120 20.520,Douglas Lake IR,"July 25, 2012",20.6
2012,K60331 (2012),Kamloops,50 09.106,120 42.678,Nicola Ranch 4 km South of Base,"July 25, 2012",9.1
2012,K60454 (2012),Kamloops,50 17.888,119 56.917,5km Salmon Lake FSR,"August 6, 2012",15.0
2012,K60474 (2012),Kamloops,50 18.739,120 25.829,S of Stump Lake,"August 7, 2012",43.0
2012,K60537 (2012),Kamloops,49 57.173,121 05.552,22km Spius Creek FSR,"August 12, 2012",20.0
2012,K60589 (2012),Kamloops,49 37.350,120 10.370,South of Osprey Lake,"August 19, 2012",15.0
2012,K60601 (2012),Kamloops,49 35.715,120 38.977,W of Missezula Lk #2,"August 19, 2012",5.1
2012,K60615 (2012),Kamloops,49 43.889,121 05.332,Juliet Creek,"August 20, 2012",8.0
2012,K70012 (2012),Kamloops,50 45.650,121 49.957,12 Mile,"April 9, 2012",29.0
2012,K70058 (2012),Kamloops,50 53.410,122 42.122,Grey Rock Rd - Goldbridge,"May 11, 2012",26.0
2012,K70059 (2012),Kamloops,50 50.576,121 42.362,Pavilion Lake,"May 12, 2012",140.0
2012,K70500 (2012),Kamloops,50 24.535,121 39.644,S of Lillooet - HWY 12,"August 8, 2012",34.0
2012,K70632 (2012),Kamloops,50 30.783,121 28.530,Blue Earth,"August 21, 2012",11.0
2012,N10043 (2012),Southeast,49 31.390,115 34.020,Oxbow Birdstone Pasture,"April 15, 2012",75.0
2012,N10185 (2012),Southeast,49 05.808,115 13.082,Koocanusa Lake,"August 1, 2012",5.5
2012,N10588 (2012),Southeast,49 37.493,116 36.288,Sphinx Mountain,"September 19, 2012",30.5
2012,N10677 (2012),Southeast,49 27.948,115 26.928,Bull River,"March 5, 2013",5.0
2012,N10678 (2012),Southeast,49 39.714,115 35.408,Wildhorse Creek - Fort Steele,"March 11, 2013",8.6
2012,N20019 (2012),Southeast,50 16.471,116 08.600,Dutch Creek,"May 15, 2012",53.3
2012,N20306 (2012),Southeast,50 55.914,115 51.193,Assiniboine Provincial Park,"August 12, 2012",575.0
2012,N20376 (2012),Southeast,50 20.242,116 02.084,Brewer Creek,"August 20, 2012",25.0
2012,N20378 (2012),Southeast,50 23.459,115 29.169,Fenwick,"August 20, 2012",35.0
2012,N20626 (2012),Southeast,49 32.298,118 54.060,Mt. Glen,"September 29, 2012",431.0
2012,N40385 (2012),Southeast,51 03.160,116 14.537,Mount Dainard,"August 20, 2012",13.2
2012,N40396 (2012),Southeast,51 11.873,117 52.077,Tangiers River Valley #3,"August 21, 2012",7.8
2012,N40403 (2012),Southeast,50 49.147,118 13.336,Blanket Creek #3,"August 22, 2012",7.5
2012,N50506 (2012),Southeast,50 16.425,118 11.348,Cusson Creek,"September 3, 2012",33.1
2012,N60003 (2012),Southeast,49 11.068,118 26.866,Brown Creek,"April 13, 2012",14.5
2012,N60009 (2012),Southeast,49 05.016,119 00.017,"4km N of Rock Creek, East side of Hwy 33","April 23, 2012",7.9
2012,N60343 (2012),Southeast,49 21.376,118 52.356,Westbridge,"August 16, 2012",5.7
2012,N60476 (2012),Southeast,49 11.204,118 27.132,East Brown Creek Rd,"September 1, 2012",10.4
2012,N70252 (2012),Southeast,49 03.310,116 23.241,Skimmerhorn,"August 8, 2012",53.6
2012,N70267 (2012),Southeast,49 55.502,117 00.868,Keen Creek,"August 9, 2012",10.0
2012,N70594 (2012),Southeast,49 51.314,117 00.038,Bjerkness Creek,"September 21, 2012",5.0
2012,N70628 (2012),Southeast,49 10.135,116 23.908,6 Mile Creek,"September 30, 2012",14.0
2012,R10171 (2012),Northwest,53 11.909,125 35.399,Entiako Lake,"August 22, 2012",7450.0
2012,R20133 (2012),Northwest,54 01.886,127 42.393,Atna Lake,"August 16, 2012",2367.0
2012,R90113 (2012),Northwest,59 26.514,129 05.251,Good Hope Lake,"August 8, 2012",3500.0
2012,R90123 (2012),Northwest,59 28.018,129 02.524,Harvey Lake,"August 11, 2012",5.0
2012,R90128 (2012),Northwest,59 31.398,128 47.265,12km East of Horseranch Lake,"August 12, 2012",36.6
2012,V30363 (2012),Coastal,49 52.890,123 03.745,Culliton Creek,"August 15, 2012",46.0
2012,V30416 (2012),Coastal,50 34.400,122 51.498,Birkenhead Lk FSR,"August 19, 2012",135.0
2012,V50395 (2012),Coastal,49 51.118,123 51.894,half way between Vancouver Bay and Egmon...,"August 18, 2012",10.0
2012,V50703 (2012),Coastal,50 12.098,124 50.929,Teakerne Arm,"September 6, 2012",5.0
2012,V60811 (2012),Coastal,48 37.797,123 48.983,Shawnigan Lake,"September 22, 2012",14.23
2012,V80481 (2012),Coastal,49 46.620,125 38.248,Wolf River #2,"August 20, 2012",313.0
2012,V80513 (2012),Coastal,50 02.138,125 58.667,1 mile east of Stewart Lake,"August 25, 2012",26.7
2012,V80806 (2012),Coastal,50 49.120,125 24.440,"Stafford River, Loughborough Inlet","September 20, 2012",13.0
2013,C10019 (2013),Cariboo,53 00.005,123 37.440,Nazko Road -,"April 24, 2013",15.5
2013,C10168 (2013),Cariboo,53 09.729,121 49.610,Willow River,"August 3, 2013",5.1
2013,C10253 (2013),Cariboo,53 07.835,120 52.128,Isaac Lake,"August 11, 2013",49.4
2013,C10307 (2013),Cariboo,53 04.791,121 41.700,Wells,"August 14, 2013",9.8
2013,C20012 (2013),Cariboo,51 54.843,122 31.804,W of Toosey towards Farwell Canyon,"April 22, 2013",300.0
2013,C20013 (2013),Cariboo,52 06.229,121 59.739,Sugarcane,"April 20, 2013",45.0
2013,C20025 (2013),Cariboo,52 00.404,122 28.604,Riske Creek,"April 25, 2013",438.0
2013,C20030 (2013),Cariboo,51 39.306,122 17.637,Dog Creek,"April 27, 2013",8.3
2013,C20201 (2013),Cariboo,52 04.709,122 21.622,2 Miles North of Till Lake,"August 10, 2013",11.1
2013,C20278 (2013),Cariboo,51 45.813,122 35.045,S of Alkali,"August 12, 2013",8.9
2013,C20393 (2013),Cariboo,52 02.744,121 51.214,Alex Fraser Research Forest - Knife Cree...,"September 12, 2013",6.1
2013,C30249 (2013),Cariboo,52 48.196,120 26.860,Niagra River Valley,"August 10, 2013",43.0
2013,C40031 (2013),Cariboo,51 25.242,121 59.556,Canoe Creek Reserve,"April 27, 2013",12.1
2013,C40192 (2013),Cariboo,51 24.860,122 09.830,5km S of Canoe Creek,"August 3, 2013",6.4
2013,C40206 (2013),Cariboo,51 11.069,121 03.151,Loon Lake,"August 5, 2013",5.5
2013,C40250 (2013),Cariboo,51 14.481,121 21.011,6km SE of 70 Mile,"August 10, 2013",12.2
2013,C40312 (2013),Cariboo,51 36.346,121 58.044,3 Km N Canoe Lake,"August 14, 2013",6.1
2013,C50003 (2013),Cariboo,52 08.007,123 58.212,Redstone Flat Indian Reserve,"April 3, 2013",25.0
2013,C50005 (2013),Cariboo,52 06.752,123 13.601,Anahims Meadow 2 IR,"April 16, 2013",9.3
2013,C50017 (2013),Cariboo,51 24.936,124 04.563,Nemaiah Valley,"April 23, 2013",12.0
2013,C50023 (2013),Cariboo,52 00.243,123 08.334,Anahim Reserve Refuse Site,"April 25, 2013",6.0
2013,C50027 (2013),Cariboo,52 00.065,123 09.327,East end of Anahim Flat 1 IR,"April 26, 2013",6.5
2013,C50028 (2013),Cariboo,51 59.865,123 09.084,Anahims Flat IR - Zenzaco creek,"April 26, 2013",5.0
2013,C50038 (2013),Cariboo,51 43.694,124 11.492,North side Choelquoit Lake burning on bo...,"May 4, 2013",156.8
2013,C50224 (2013),Cariboo,52 43.759,125 06.000,Saddle between Itcha and Ilgachuz Mtns,"August 7, 2013",1200.0
2013,C50419 (2013),Cariboo,52 26.228,125 23.659,Munn Lake,"October 25, 2013",5.0
2013,G10058 (2013),Prince George,54 03.455,122 54.622,End of Discovery Road,"May 10, 2013",23.2
2013,G10060 (2013),Prince George,53 46.718,122 37.630,Buckhorn,"May 10, 2013",14.0
2013,G10160 (2013),Prince George,53 32.188,121 28.058,1.5 NM North of Haggen River,"July 3, 2013",5.7
2013,G10208 (2013),Prince George,53 51.110,122 58.689,Lower Mud River,"July 31, 2013",9.8
2013,G10275 (2013),Prince George,53 27.363,121 51.035,Stony Lake,"August 3, 2013",410.0
2013,G10294 (2013),Prince George,53 52.244,120 47.426,Walker Creek,"August 6, 2013",100.0
2013,G30320 (2013),Prince George,53 39.299,120 10.100,Morkill River,"August 11, 2013",16.5
2013,G30332 (2013),Prince George,52 57.388,120 00.267,Quanstrom Creek,"August 11, 2013",405.0
2013,G30372 (2013),Prince George,52 58.182,119 51.063,Raush River,"August 14, 2013",5.0
2013,G30387 (2013),Prince George,52 57.158,120 03.577,Raush River,"August 10, 2013",131.0
2013,G40233 (2013),Prince George,53 36.408,124 39.429,10 Miles East of Nechako Lodge,"August 1, 2013",9.0
2013,G40284 (2013),Prince George,54 16.807,124 50.004,Peta Mntn,"August 5, 2013",281.9
2013,G40325 (2013),Prince George,53 48.574,123 26.210,2 nm NW of Norman Lake,"August 11, 2013",10.0
2013,G50056 (2013),Prince George,54 34.021,124 29.747,Binchi Reserve,"May 9, 2013",6.1
2013,G60250 (2013),Prince George,55 12.117,123 37.588,18km West of Mackenzie,"August 2, 2013",6.2
2013,G70005 (2013),Prince George,56 06.930,122 19.569,19 km on the 12 Mile Road,"April 23, 2013",23.5
2013,G70012 (2013),Prince George,55 37.057,121 50.587,2 km west of Stone Creek,"April 27, 2013",34.0
2013,G70024 (2013),Prince George,55 47.094,121 00.103,2777 Road,"May 4, 2013",52.0
2013,G70027 (2013),Prince George,55 47.188,120 13.480,Dawson Creek,"May 5, 2013",100.0
2013,G70030 (2013),Prince George,55 44.454,120 24.320,Bear Mountain,"May 5, 2013",49.0
2013,G70035 (2013),Prince George,55 32.127,120 04.069,Toms Lake Area,"May 5, 2013",40.0
2013,G70039 (2013),Prince George,55 11.813,121 42.459,Sukunka River 39 km,"May 6, 2013",79.0
2013,G70042 (2013),Prince George,55 35.899,120 12.952,"14726, Road 217 (Toms Lake)","May 6, 2013",60.0
2013,G70046 (2013),Prince George,55 52.136,121 35.869,Vermunt Road,"May 7, 2013",9.0
2013,G70047 (2013),Prince George,55 59.498,121 15.947,Minias Area,"May 7, 2013",100.0
2013,G70057 (2013),Prince George,55 40.217,120 00.673,Tupper Creek,"May 9, 2013",20.0
2013,G70081 (2013),Prince George,55 29.893,120 32.935,13km on halfmoon road,"May 18, 2013",13.2
2013,G70475 (2013),Prince George,56 03.070,122 06.699,bullhead mountain,"September 28, 2013",5.7
2013,G80036 (2013),Prince George,56 15.900,122 04.081,Beryl Prairie Area,"May 5, 2013",14.0
2013,G80048 (2013),Prince George,56 09.458,120 43.396,Taylor,"May 7, 2013",35.0
2013,G80055 (2013),Prince George,56 13.693,121 24.931,Peace River,"May 9, 2013",13.7
2013,G80070 (2013),Prince George,56 16.275,121 14.206,Bear Flats,"May 14, 2013",11.5
2013,G80447 (2013),Prince George,58 33.172,120 43.853,Ekwan Lake,"September 9, 2013",9.9
2013,G90086 (2013),Prince George,59 22.980,120 10.681,Peggo,"May 19, 2013",53.3
2013,G90100 (2013),Prince George,59 01.787,121 08.409,SW of Kotcho Lake,"May 28, 2013",12.5
2013,G90109 (2013),Prince George,59 55.486,120 55.334,Midwinter Lake,"June 16, 2013",66.0
2013,G90114 (2013),Prince George,59 18.979,121 55.567,Tsea Lakes,"June 23, 2013",209.7
2013,G90115 (2013),Prince George,59 40.610,122 12.536,Yesshadle Creek,"June 23, 2013",6.4
2013,G90118 (2013),Prince George,59 18.197,125 12.458,Liard River Hell's Gate,"June 23, 2013",6.4
2013,G90119 (2013),Prince George,59 23.750,126 37.670,Vents Creek,"June 23, 2013",1029.6
2013,G90125 (2013),Prince George,59 24.233,121 46.417,4nm South East Tsea River,"June 24, 2013",11.3
2013,G90178 (2013),Prince George,59 06.457,121 10.783,North side of Kotcho Lake,"July 8, 2013",17.0
2013,K10310 (2013),Kamloops,52 29.474,119 24.841,Manteau Creek,"July 30, 2013",73.8
2013,K10383 (2013),Kamloops,52 20.886,119 07.997,Pyramid Falls,"August 2, 2013",13.2
2013,K10643 (2013),Kamloops,52 37.242,120 13.603,N of Hobson Lake,"August 12, 2013",29.6
2013,K10647 (2013),Kamloops,52 31.596,119 31.276,Storm King Creek,"August 12, 2013",18.4
2013,K10688 (2013),Kamloops,52 03.875,118 58.272,Fly Creek,"August 13, 2013",64.4
2013,K10720 (2013),Kamloops,52 47.163,120 11.215,Upper Clearwater River,"August 15, 2013",792.0
2013,K10721 (2013),Kamloops,52 33.030,119 53.705,10 miles W of Azure lake,"August 15, 2013",16.6
2013,K10734 (2013),Kamloops,52 27.814,120 10.806,Goat Creek,"August 16, 2013",5.7
2013,K10859 (2013),Kamloops,52 37.255,120 14.549,W of Hobson Lake,"September 9, 2013",71.5
2013,K20008 (2013),Kamloops,50 53.261,121 24.172,Intersection of HWY 99 & 97,"April 3, 2013",16.0
2013,K20015 (2013),Kamloops,50 47.304,120 57.783,Deadman Valley,"April 22, 2013",15.0
2013,K20019 (2013),Kamloops,50 34.532,120 26.421,Timber Lake Road,"April 24, 2013",8.2
2013,K20028 (2013),Kamloops,50 34.414,121 16.940,Spatsum Creek,"April 27, 2013",1400.0
